# State Code or Tribal Indicator (TT),County Code or Tribal Code,Site_ID Number,Parameter Code,POC,Design Value Year,Exceptional Data Type,Pollutant Standard,DV Standard Statistic,DV Standard Level,Units Code,Units Name,STREET ADDRESS,Site Latitude,Site Longitude,Design Value Year:  Valid Days,Design Value Year:  Missing Days Assumed Less Than Standard,Design Value Year:  Required Days,Design Value Year:  Percent Complete,Design Value Year:  4th Maximum,Design Value Year:  Certification,Year - 1:  Valid Days,Year - 1:  Missing Days Assumed Less Than Standard,Year - 1:  Required Days,Year - 1:  Percent Complete,Year - 1:  4th Maximum,Year - 1:  Certification,Year - 2:  Valid Days,Year - 2:  Missing Days Assumed Less Than Standard,Year - 2:  Required Days,Year - 2:  Percent Complete,Year - 2:  4th Maximum,Year - 2:  Certification,3-Year Percent Complete,3-Year Design Value,3-Year DV Validity Indicator
#  Warning: Computed design values represent snapshot of data at time report was run and this may be incomplete data.
#  Report Date:  2016-06-01
06,079,2006,44201,1,2011,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.256576874894,-120.66986143066,350,0,365,96,.055,Y,360,0,365,99,.057,,365,0,365,100,.061,,98,.057,Y
06,079,2006,44201,1,2012,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.256576874894,-120.66986143066,364,0,366,99,.051,,350,0,365,96,.055,Y,360,0,365,99,.057,,98,.054,Y
06,079,2006,44201,1,2013,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.256576874894,-120.66986143066,360,0,365,99,.05,,364,0,366,99,.051,,350,0,365,96,.055,Y,98,.052,Y
06,079,2006,44201,1,2014,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.256576874894,-120.66986143066,362,0,365,99,.062,S,360,0,365,99,.05,,364,0,366,99,.051,,99,.054,Y
06,079,2006,44201,1,2015,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.256576874894,-120.66986143066,347,0,365,95,.057,S,362,0,365,99,.062,S,360,0,365,99,.05,,98,.056,Y
06,079,3001,44201,1,2006,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"MORRO BAY BLVD & KERN AVE, MORRO BAY",35.3663100008909,-120.84271,351,0,365,96,.053,,354,0,365,97,.052,,359,0,366,98,.061,Y,97,.055,Y
06,079,3001,44201,1,2007,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"MORRO BAY BLVD & KERN AVE, MORRO BAY",35.3663100008909,-120.84271,343,0,365,94,.053,,351,0,365,96,.053,,354,0,365,97,.052,,96,.052,Y
06,079,3001,44201,1,2008,5,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"MORRO BAY BLVD & KERN AVE, MORRO BAY",35.3663100008909,-120.84271,351,0,366,96,.058,,343,0,365,94,.053,,351,0,365,96,.053,,95,.054,Y
06,079,3001,44201,1,2009,5,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"MORRO BAY BLVD & KERN AVE, MORRO BAY",35.3663100008909,-120.84271,321,0,365,88,.057,,351,0,366,96,.058,,343,0,365,94,.053,,93,.056,Y
06,079,3001,44201,1,2010,5,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"MORRO BAY BLVD & KERN AVE, MORRO BAY",35.3663100008909,-120.84271,357,0,365,98,.053,,321,0,365,88,.057,,351,0,366,96,.058,,94,.056,Y
